f_S[GHz],real(Zin),imag(Zin)
-15,1.71E-02,34.19
-14.99,1.71E-02,34.21
-14.98,1.71E-02,34.23
-14.97,1.71E-02,34.26
-14.96,1.71E-02,34.28
-14.95,1.72E-02,34.3
-14.94,1.72E-02,34.33
-14.93,1.72E-02,34.35
-14.92,1.72E-02,34.37
-14.91,1.73E-02,34.4
-14.9,1.73E-02,34.42
-14.89,1.73E-02,34.44
-14.88,1.73E-02,34.46
-14.87,1.73E-02,34.49
-14.86,1.74E-02,34.51
-14.85,1.74E-02,34.53
-14.84,1.74E-02,34.56
-14.83,1.74E-02,34.58
-14.82,1.74E-02,34.6
-14.81,1.75E-02,34.63
-14.8,1.75E-02,34.65
-14.79,1.75E-02,34.67
-14.78,1.75E-02,34.7
-14.77,1.76E-02,34.72
-14.76,1.76E-02,34.75
-14.75,1.76E-02,34.77
-14.74,1.76E-02,34.79
-14.73,1.76E-02,34.82
-14.72,1.77E-02,34.84
-14.71,1.77E-02,34.86
-14.7,1.77E-02,34.89
-14.69,1.77E-02,34.91
-14.68,1.78E-02,34.94
-14.67,1.78E-02,34.96
-14.66,1.78E-02,34.98
-14.65,1.78E-02,35.01
-14.64,1.78E-02,35.03
-14.63,1.79E-02,35.05
-14.62,1.79E-02,35.08
-14.61,1.79E-02,35.1
-14.6,1.79E-02,35.13
-14.59,1.80E-02,35.15
-14.58,1.80E-02,35.18
-14.57,1.80E-02,35.2
-14.56,1.80E-02,35.22
-14.55,1.81E-02,35.25
-14.54,1.81E-02,35.27
-14.53,1.81E-02,35.3
-14.52,1.81E-02,35.32
-14.51,1.81E-02,35.34
-14.5,1.82E-02,35.37
-14.49,1.82E-02,35.39
-14.48,1.82E-02,35.42
-14.47,1.82E-02,35.44
-14.46,1.83E-02,35.47
-14.45,1.83E-02,35.49
-14.44,1.83E-02,35.52
-14.43,1.83E-02,35.54
-14.42,1.84E-02,35.57
-14.41,1.84E-02,35.59
-14.4,1.84E-02,35.62
-14.39,1.84E-02,35.64
-14.38,1.84E-02,35.66
-14.37,1.85E-02,35.69
-14.36,1.85E-02,35.71
-14.35,1.85E-02,35.74
-14.34,1.85E-02,35.76
-14.33,1.86E-02,35.79
-14.32,1.86E-02,35.81
-14.31,1.86E-02,35.84
-14.3,1.86E-02,35.86
-14.29,1.87E-02,35.89
-14.28,1.87E-02,35.92
-14.27,1.87E-02,35.94
-14.26,1.87E-02,35.97
-14.25,1.88E-02,35.99
-14.24,1.88E-02,36.02
-14.23,1.88E-02,36.04
-14.22,1.88E-02,36.07
-14.21,1.89E-02,36.09
-14.2,1.89E-02,36.12
-14.19,1.89E-02,36.14
-14.18,1.89E-02,36.17
-14.17,1.90E-02,36.19
-14.16,1.90E-02,36.22
-14.15,1.90E-02,36.25
-14.14,1.90E-02,36.27
-14.13,1.91E-02,36.3
-14.12,1.91E-02,36.32
-14.11,1.91E-02,36.35
-14.1,1.91E-02,36.37
-14.09,1.92E-02,36.4
-14.08,1.92E-02,36.43
-14.07,1.92E-02,36.45
-14.06,1.92E-02,36.48
-14.05,1.93E-02,36.5
-14.04,1.93E-02,36.53
-14.03,1.93E-02,36.56
-14.02,1.93E-02,36.58
-14.01,1.94E-02,36.61
-14,1.94E-02,36.63
-13.99,1.94E-02,36.66
-13.98,1.94E-02,36.69
-13.97,1.95E-02,36.71
-13.96,1.95E-02,36.74
-13.95,1.95E-02,36.77
-13.94,1.95E-02,36.79
-13.93,1.96E-02,36.82
-13.92,1.96E-02,36.85
-13.91,1.96E-02,36.87
-13.9,1.96E-02,36.9
-13.89,1.97E-02,36.92
-13.88,1.97E-02,36.95
-13.87,1.97E-02,36.98
-13.86,1.97E-02,37
-13.85,1.98E-02,37.03
-13.84,1.98E-02,37.06
-13.83,1.98E-02,37.09
-13.82,1.98E-02,37.11
-13.81,1.99E-02,37.14
-13.8,1.99E-02,37.17
-13.79,1.99E-02,37.19
-13.78,2.00E-02,37.22
-13.77,2.00E-02,37.25
-13.76,2.00E-02,37.27
-13.75,2.00E-02,37.3
-13.74,2.01E-02,37.33
-13.73,2.01E-02,37.36
-13.72,2.01E-02,37.38
-13.71,2.01E-02,37.41
-13.7,2.02E-02,37.44
-13.69,2.02E-02,37.47
-13.68,2.02E-02,37.49
-13.67,2.02E-02,37.52
-13.66,2.03E-02,37.55
-13.65,2.03E-02,37.58
-13.64,2.03E-02,37.6
-13.63,2.04E-02,37.63
-13.62,2.04E-02,37.66
-13.61,2.04E-02,37.69
-13.6,2.04E-02,37.71
-13.59,2.05E-02,37.74
-13.58,2.05E-02,37.77
-13.57,2.05E-02,37.8
-13.56,2.05E-02,37.82
-13.55,2.06E-02,37.85
-13.54,2.06E-02,37.88
-13.53,2.06E-02,37.91
-13.52,2.07E-02,37.94
-13.51,2.07E-02,37.97
-13.5,2.07E-02,37.99
-13.49,2.07E-02,38.02
-13.48,2.08E-02,38.05
-13.47,2.08E-02,38.08
-13.46,2.08E-02,38.11
-13.45,2.09E-02,38.13
-13.44,2.09E-02,38.16
-13.43,2.09E-02,38.19
-13.42,2.09E-02,38.22
-13.41,2.10E-02,38.25
-13.4,2.10E-02,38.28
-13.39,2.10E-02,38.31
-13.38,2.11E-02,38.33
-13.37,2.11E-02,38.36
-13.36,2.11E-02,38.39
-13.35,2.11E-02,38.42
-13.34,2.12E-02,38.45
-13.33,2.12E-02,38.48
-13.32,2.12E-02,38.51
-13.31,2.13E-02,38.54
-13.3,2.13E-02,38.57
-13.29,2.13E-02,38.59
-13.28,2.13E-02,38.62
-13.27,2.14E-02,38.65
-13.26,2.14E-02,38.68
-13.25,2.14E-02,38.71
-13.24,2.15E-02,38.74
-13.23,2.15E-02,38.77
-13.22,2.15E-02,38.8
-13.21,2.16E-02,38.83
-13.2,2.16E-02,38.86
-13.19,2.16E-02,38.89
-13.18,2.16E-02,38.92
-13.17,2.17E-02,38.95
-13.16,2.17E-02,38.98
-13.15,2.17E-02,39.01
-13.14,2.18E-02,39.04
-13.13,2.18E-02,39.07
-13.12,2.18E-02,39.1
-13.11,2.18E-02,39.13
-13.1,2.19E-02,39.16
-13.09,2.19E-02,39.19
-13.08,2.19E-02,39.22
-13.07,2.20E-02,39.25
-13.06,2.20E-02,39.28
-13.05,2.20E-02,39.31
-13.04,2.21E-02,39.34
-13.03,2.21E-02,39.37
-13.02,2.21E-02,39.4
-13.01,2.22E-02,39.43
-13,2.22E-02,39.46
-12.99,2.22E-02,39.49
-12.98,2.22E-02,39.52
-12.97,2.23E-02,39.55
-12.96,2.23E-02,39.58
-12.95,2.23E-02,39.61
-12.94,2.24E-02,39.64
-12.93,2.24E-02,39.67
-12.92,2.24E-02,39.7
-12.91,2.25E-02,39.73
-12.9,2.25E-02,39.76
-12.89,2.25E-02,39.79
-12.88,2.26E-02,39.83
-12.87,2.26E-02,39.86
-12.86,2.26E-02,39.89
-12.85,2.27E-02,39.92
-12.84,2.27E-02,39.95
-12.83,2.27E-02,39.98
-12.82,2.28E-02,40.01
-12.81,2.28E-02,40.04
-12.8,2.28E-02,40.07
-12.79,2.28E-02,40.11
-12.78,2.29E-02,40.14
-12.77,2.29E-02,40.17
-12.76,2.29E-02,40.2
-12.75,2.30E-02,40.23
-12.74,2.30E-02,40.26
-12.73,2.30E-02,40.3
-12.72,2.31E-02,40.33
-12.71,2.31E-02,40.36
-12.7,2.31E-02,40.39
-12.69,2.32E-02,40.42
-12.68,2.32E-02,40.45
-12.67,2.32E-02,40.49
-12.66,2.33E-02,40.52
-12.65,2.33E-02,40.55
-12.64,2.33E-02,40.58
-12.63,2.34E-02,40.61
-12.62,2.34E-02,40.65
-12.61,2.34E-02,40.68
-12.6,2.35E-02,40.71
-12.59,2.35E-02,40.74
-12.58,2.35E-02,40.78
-12.57,2.36E-02,40.81
-12.56,2.36E-02,40.84
-12.55,2.36E-02,40.87
-12.54,2.37E-02,40.91
-12.53,2.37E-02,40.94
-12.52,2.37E-02,40.97
-12.51,2.38E-02,41
-12.5,2.38E-02,41.04
-12.49,2.38E-02,41.07
