f_S[GHz],real(Zin),imag(Zin)
-15,2.62E-03,5.2598312
-14.99,2.63E-03,5.2633445
-14.98,2.63E-03,5.2668625
-14.97,2.63E-03,5.2703852
-14.96,2.64E-03,5.2739126
-14.95,2.64E-03,5.2774447
-14.94,2.64E-03,5.2809816
-14.93,2.65E-03,5.2845232
-14.92,2.65E-03,5.2880696
-14.91,2.65E-03,5.2916208
-14.9,2.66E-03,5.2951767
-14.89,2.66E-03,5.2987374
-14.88,2.66E-03,5.3023029
-14.87,2.67E-03,5.3058733
-14.86,2.67E-03,5.3094484
-14.85,2.67E-03,5.3130283
-14.84,2.68E-03,5.3166131
-14.83,2.68E-03,5.3202027
-14.82,2.68E-03,5.3237972
-14.81,2.69E-03,5.3273966
-14.8,2.69E-03,5.3310008
-14.79,2.69E-03,5.3346099
-14.78,2.70E-03,5.3382239
-14.77,2.70E-03,5.3418428
-14.76,2.70E-03,5.3454666
-14.75,2.71E-03,5.3490953
-14.74,2.71E-03,5.352729
-14.73,2.71E-03,5.3563676
-14.72,2.72E-03,5.3600111
-14.71,2.72E-03,5.3636597
-14.7,2.72E-03,5.3673132
-14.69,2.73E-03,5.3709716
-14.68,2.73E-03,5.3746351
-14.67,2.73E-03,5.3783036
-14.66,2.74E-03,5.3819771
-14.65,2.74E-03,5.3856556
-14.64,2.75E-03,5.3893391
-14.63,2.75E-03,5.3930277
-14.62,2.75E-03,5.3967214
-14.61,2.76E-03,5.4004201
-14.6,2.76E-03,5.4041239
-14.59,2.76E-03,5.4078328
-14.58,2.77E-03,5.4115467
-14.57,2.77E-03,5.4152658
-14.56,2.77E-03,5.41899
-14.55,2.78E-03,5.4227193
-14.54,2.78E-03,5.4264538
-14.53,2.78E-03,5.4301934
-14.52,2.79E-03,5.4339382
-14.51,2.79E-03,5.4376882
-14.5,2.79E-03,5.4414433
-14.49,2.80E-03,5.4452036
-14.48,2.80E-03,5.4489692
-14.47,2.81E-03,5.4527399
-14.46,2.81E-03,5.4565159
