f_S[GHz],real(Zin),imag(Zin),,,,,
-15,1.71E-02,34.18,,,,,
-14.99,1.71E-02,34.2,,,,,
-14.98,1.71E-02,34.22,,,,,
-14.97,1.71E-02,34.25,,,,,
-14.96,1.71E-02,34.27,,,,,
-14.95,1.72E-02,34.29,,,,,
-14.94,1.72E-02,34.31,,,,,
-14.93,1.72E-02,34.34,,,,,
-14.92,1.72E-02,34.36,,,,,
-14.91,1.72E-02,34.38,,,,,
-14.9,1.73E-02,34.41,,,,,
-14.89,1.73E-02,34.43,,,,,
-14.88,1.73E-02,34.45,,,,,
-14.87,1.73E-02,34.48,,,,,
-14.86,1.74E-02,34.5,,,,,
-14.85,1.74E-02,34.52,,,,,
-14.84,1.74E-02,34.55,,,,,
-14.83,1.74E-02,34.57,,,,,
-14.82,1.74E-02,34.59,,,,,
-14.81,1.75E-02,34.62,,,,,
-14.8,1.75E-02,34.64,,,,,
-14.79,1.75E-02,34.66,,,,,
-14.78,1.75E-02,34.69,,,,,
-14.77,1.75E-02,34.71,,,,,
-14.76,1.76E-02,34.73,,,,,
-14.75,1.76E-02,34.76,,,,,
-14.74,1.76E-02,34.78,,,,,
-14.73,1.76E-02,34.8,,,,,
-14.72,1.77E-02,34.83,,,,,
-14.71,1.77E-02,34.85,,,,,
-14.7,1.77E-02,34.88,,,,,
-14.69,1.77E-02,34.9,,,,,
-14.68,1.77E-02,34.92,,,,,
-14.67,1.78E-02,34.95,,,,,
-14.66,1.78E-02,34.97,,,,,
-14.65,1.78E-02,34.99,,,,,
-14.64,1.78E-02,35.02,,,,,
-14.63,1.79E-02,35.04,,,,,
-14.62,1.79E-02,35.07,,,,,
-14.61,1.79E-02,35.09,,,,,
-14.6,1.79E-02,35.11,,,,,
-14.59,1.80E-02,35.14,,,,,
-14.58,1.80E-02,35.16,,,,,
-14.57,1.80E-02,35.19,,,,,
-14.56,1.80E-02,35.21,,,,,
-14.55,1.80E-02,35.24,,,,,
-14.54,1.81E-02,35.26,,,,,
-14.53,1.81E-02,35.28,,,,,
-14.52,1.81E-02,35.31,,,,,
-14.51,1.81E-02,35.33,,,,,
-14.5,1.82E-02,35.36,,,,,
-14.49,1.82E-02,35.38,,,,,
-14.48,1.82E-02,35.41,,,,,
-14.47,1.82E-02,35.43,,,,,
-14.46,1.82E-02,35.46,,,,,
-14.45,1.83E-02,35.48,,,,,
-14.44,1.83E-02,35.5,,,,,
-14.43,1.83E-02,35.53,,,,,
-14.42,1.83E-02,35.55,,,,,
-14.41,1.84E-02,35.58,,,,,
-14.4,1.84E-02,35.6,,,,,
-14.39,1.84E-02,35.63,,,,,
-14.38,1.84E-02,35.65,,,,,
-14.37,1.85E-02,35.68,,,,,
-14.36,1.85E-02,35.7,,,,,
-14.35,1.85E-02,35.73,,,,,
-14.34,1.85E-02,35.75,,,,,
-14.33,1.86E-02,35.78,,,,,
-14.32,1.86E-02,35.8,,,,,
-14.31,1.86E-02,35.83,,,,,
-14.3,1.86E-02,35.85,,,,,
-14.29,1.87E-02,35.88,,,,,
-14.28,1.87E-02,35.9,,,,,
-14.27,1.87E-02,35.93,,,,,
-14.26,1.87E-02,35.95,,,,,
-14.25,1.87E-02,35.98,,,,,
-14.24,1.88E-02,36,,,,,
-14.23,1.88E-02,36.03,,,,,
-14.22,1.88E-02,36.05,,,,,
-14.21,1.88E-02,36.08,,,,,
-14.2,1.89E-02,36.1,,,,,
-14.19,1.89E-02,36.13,,,,,
-14.18,1.89E-02,36.16,,,,,
-14.17,1.89E-02,36.18,,,,,
-14.16,1.90E-02,36.21,,,,,
-14.15,1.90E-02,36.23,,,,,
-14.14,1.90E-02,36.26,,,,,
-14.13,1.90E-02,36.28,,,,,
-14.12,1.91E-02,36.31,,,,,
-14.11,1.91E-02,36.34,,,,,
-14.1,1.91E-02,36.36,,,,,
-14.09,1.91E-02,36.39,,,,,
-14.08,1.92E-02,36.41,,,,,
-14.07,1.92E-02,36.44,,,,,
-14.06,1.92E-02,36.46,,,,,
-14.05,1.92E-02,36.49,,,,,
-14.04,1.93E-02,36.52,,,,,
-14.03,1.93E-02,36.54,,,,,
-14.02,1.93E-02,36.57,,,,,
-14.01,1.93E-02,36.6,,,,,
-14,1.94E-02,36.62,,,,,
-13.99,1.94E-02,36.65,,,,,
-13.98,1.94E-02,36.67,,,,,
-13.97,1.94E-02,36.7,,,,,
-13.96,1.95E-02,36.73,,,,,
-13.95,1.95E-02,36.75,,,,,
-13.94,1.95E-02,36.78,,,,,
-13.93,1.95E-02,36.81,,,,,
-13.92,1.96E-02,36.83,,,,,
-13.91,1.96E-02,36.86,,,,,
-13.9,1.96E-02,36.88,,,,,
-13.89,1.97E-02,36.91,,,,,
-13.88,1.97E-02,36.94,,,,,
-13.87,1.97E-02,36.96,,,,,
-13.86,1.97E-02,36.99,,,,,
-13.85,1.98E-02,37.02,,,,,
-13.84,1.98E-02,37.05,,,,,
-13.83,1.98E-02,37.07,,,,,
-13.82,1.98E-02,37.1,,,,,
-13.81,1.99E-02,37.13,,,,,
-13.8,1.99E-02,37.15,,,,,
-13.79,1.99E-02,37.18,,,,,
-13.78,1.99E-02,37.21,,,,,
-13.77,2.00E-02,37.23,,,,,
-13.76,2.00E-02,37.26,,,,,
-13.75,2.00E-02,37.29,,,,,
-13.74,2.00E-02,37.31,,,,,
-13.73,2.01E-02,37.34,,,,,
-13.72,2.01E-02,37.37,,,,,
-13.71,2.01E-02,37.4,,,,,
-13.7,2.02E-02,37.42,,,,,
-13.69,2.02E-02,37.45,,,,,
-13.68,2.02E-02,37.48,,,,,
-13.67,2.02E-02,37.51,,,,,
-13.66,2.03E-02,37.53,,,,,
-13.65,2.03E-02,37.56,,,,,
-13.64,2.03E-02,37.59,,,,,
-13.63,2.03E-02,37.62,,,,,
-13.62,2.04E-02,37.64,,,,,
-13.61,2.04E-02,37.67,,,,,
-13.6,2.04E-02,37.7,,,,,
-13.59,2.05E-02,37.73,,,,,
-13.58,2.05E-02,37.76,,,,,
-13.57,2.05E-02,37.78,,,,,
-13.56,2.05E-02,37.81,,,,,
-13.55,2.06E-02,37.84,,,,,
-13.54,2.06E-02,37.87,,,,,
-13.53,2.06E-02,37.89,,,,,
-13.52,2.06E-02,37.92,,,,,
-13.51,2.07E-02,37.95,,,,,
-13.5,2.07E-02,37.98,,,,,
-13.49,2.07E-02,38.01,,,,,
-13.48,2.08E-02,38.04,,,,,
-13.47,2.08E-02,38.06,,,,,
-13.46,2.08E-02,38.09,,,,,
-13.45,2.08E-02,38.12,,,,,
-13.44,2.09E-02,38.15,,,,,
-13.43,2.09E-02,38.18,,,,,
-13.42,2.09E-02,38.21,,,,,
-13.41,2.10E-02,38.23,,,,,
-13.4,2.10E-02,38.26,,,,,
-13.39,2.10E-02,38.29,,,,,
-13.38,2.10E-02,38.32,,,,,
-13.37,2.11E-02,38.35,,,,,
-13.36,2.11E-02,38.38,,,,,
-13.35,2.11E-02,38.41,,,,,
-13.34,2.12E-02,38.44,,,,,
-13.33,2.12E-02,38.46,,,,,
-13.32,2.12E-02,38.49,,,,,
-13.31,2.12E-02,38.52,,,,,
-13.3,2.13E-02,38.55,,,,,
-13.29,2.13E-02,38.58,,,,,
-13.28,2.13E-02,38.61,,,,,
-13.27,2.14E-02,38.64,,,,,
-13.26,2.14E-02,38.67,,,,,
-13.25,2.14E-02,38.7,,,,,
-13.24,2.14E-02,38.73,,,,,
-13.23,2.15E-02,38.76,,,,,
