f_S[GHz],real(Zin),imag(Zin)
-15,9.06E-01,36.37
-14.99,9.07E-01,36.39
-14.98,9.09E-01,36.41
-14.97,9.10E-01,36.44
-14.96,9.11E-01,36.46
-14.95,9.12E-01,36.49
-14.94,9.13E-01,36.51
-14.93,9.14E-01,36.53
-14.92,9.15E-01,36.56
-14.91,9.16E-01,36.58
-14.9,9.18E-01,36.61
-14.89,9.19E-01,36.63
-14.88,9.20E-01,36.66
-14.87,9.21E-01,36.68
-14.86,9.22E-01,36.7
-14.85,9.23E-01,36.73
-14.84,9.24E-01,36.75
-14.83,9.26E-01,36.78
-14.82,9.27E-01,36.8
-14.81,9.28E-01,36.83
-14.8,9.29E-01,36.85
-14.79,9.30E-01,36.88
-14.78,9.31E-01,36.9
-14.77,9.32E-01,36.93
-14.76,9.34E-01,36.95
-14.75,9.35E-01,36.97
-14.74,9.36E-01,37
-14.73,9.37E-01,37.02
-14.72,9.38E-01,37.05
-14.71,9.40E-01,37.07
-14.7,9.41E-01,37.1
-14.69,9.42E-01,37.12
-14.68,9.43E-01,37.15
-14.67,9.44E-01,37.17
-14.66,9.45E-01,37.2
-14.65,9.47E-01,37.22
-14.64,9.48E-01,37.25
-14.63,9.49E-01,37.27
-14.62,9.50E-01,37.3
-14.61,9.51E-01,37.32
-14.6,9.53E-01,37.35
-14.59,9.54E-01,37.37
-14.58,9.55E-01,37.4
-14.57,9.56E-01,37.43
-14.56,9.57E-01,37.45
-14.55,9.59E-01,37.48
-14.54,9.60E-01,37.5
-14.53,9.61E-01,37.53
-14.52,9.62E-01,37.55
-14.51,9.63E-01,37.58
-14.5,9.65E-01,37.6
-14.49,9.66E-01,37.63
-14.48,9.67E-01,37.66
-14.47,9.68E-01,37.68
-14.46,9.70E-01,37.71
-14.45,9.71E-01,37.73
-14.44,9.72E-01,37.76
-14.43,9.73E-01,37.78
-14.42,9.75E-01,37.81
-14.41,9.76E-01,37.84
-14.4,9.77E-01,37.86
-14.39,9.78E-01,37.89
-14.38,9.80E-01,37.91
-14.37,9.81E-01,37.94
-14.36,9.82E-01,37.97
-14.35,9.83E-01,37.99
-14.34,9.85E-01,38.02
-14.33,9.86E-01,38.04
-14.32,9.87E-01,38.07
-14.31,9.88E-01,38.1
-14.3,9.90E-01,38.12
-14.29,9.91E-01,38.15
-14.28,9.92E-01,38.18
-14.27,9.93E-01,38.2
-14.26,9.95E-01,38.23
-14.25,9.96E-01,38.25
-14.24,9.97E-01,38.28
-14.23,9.99E-01,38.31
-14.22,1.00E+00,38.33
-14.21,1.001,38.36
-14.2,1.002,38.39
-14.19,1.004,38.41
-14.18,1.005,38.44
-14.17,1.006,38.47
-14.16,1.008,38.49
-14.15,1.009,38.52
-14.14,1.01,38.55
-14.13,1.011,38.58
-14.12,1.013,38.6
-14.11,1.014,38.63
-14.1,1.015,38.66
-14.09,1.017,38.68
-14.08,1.018,38.71
-14.07,1.019,38.74
-14.06,1.021,38.76
-14.05,1.022,38.79
-14.04,1.023,38.82
-14.03,1.025,38.85
-14.02,1.026,38.87
-14.01,1.027,38.9
-14,1.029,38.93
-13.99,1.03,38.96
-13.98,1.031,38.98
-13.97,1.033,39.01
-13.96,1.034,39.04
-13.95,1.035,39.07
-13.94,1.037,39.09
-13.93,1.038,39.12
-13.92,1.04,39.15
-13.91,1.041,39.18
-13.9,1.042,39.21
-13.89,1.044,39.23
-13.88,1.045,39.26
-13.87,1.046,39.29
-13.86,1.048,39.32
-13.85,1.049,39.34
-13.84,1.051,39.37
-13.83,1.052,39.4
-13.82,1.053,39.43
-13.81,1.055,39.46
-13.8,1.056,39.49
-13.79,1.058,39.51
-13.78,1.059,39.54
-13.77,1.06,39.57
-13.76,1.062,39.6
-13.75,1.063,39.63
-13.74,1.065,39.66
-13.73,1.066,39.68
-13.72,1.067,39.71
-13.71,1.069,39.74
-13.7,1.07,39.77
-13.69,1.072,39.8
-13.68,1.073,39.83
-13.67,1.074,39.86
-13.66,1.076,39.88
-13.65,1.077,39.91
-13.64,1.079,39.94
-13.63,1.08,39.97
-13.62,1.082,40
-13.61,1.083,40.03
-13.6,1.085,40.06
-13.59,1.086,40.09
-13.58,1.087,40.12
-13.57,1.089,40.14
-13.56,1.09,40.17
-13.55,1.092,40.2
-13.54,1.093,40.23
-13.53,1.095,40.26
-13.52,1.096,40.29
-13.51,1.098,40.32
-13.5,1.099,40.35
-13.49,1.101,40.38
-13.48,1.102,40.41
-13.47,1.104,40.44
-13.46,1.105,40.47
-13.45,1.107,40.5
-13.44,1.108,40.53
-13.43,1.11,40.56
-13.42,1.111,40.59
-13.41,1.113,40.62
-13.4,1.114,40.65
-13.39,1.116,40.68
-13.38,1.117,40.71
-13.37,1.119,40.74
-13.36,1.12,40.77
-13.35,1.122,40.8
-13.34,1.123,40.83
-13.33,1.125,40.86
-13.32,1.126,40.89
-13.31,1.128,40.92
-13.3,1.129,40.95
-13.29,1.131,40.98
-13.28,1.132,41.01
-13.27,1.134,41.04
-13.26,1.136,41.07
-13.25,1.137,41.1
-13.24,1.139,41.13
-13.23,1.14,41.16
-13.22,1.142,41.19
-13.21,1.143,41.22
-13.2,1.145,41.25
-13.19,1.146,41.28
-13.18,1.148,41.32
-13.17,1.15,41.35
-13.16,1.151,41.38
-13.15,1.153,41.41
-13.14,1.154,41.44
-13.13,1.156,41.47
-13.12,1.158,41.5
-13.11,1.159,41.53
-13.1,1.161,41.56
-13.09,1.162,41.59
-13.08,1.164,41.63
-13.07,1.166,41.66
-13.06,1.167,41.69
-13.05,1.169,41.72
-13.04,1.17,41.75
-13.03,1.172,41.78
-13.02,1.174,41.82
-13.01,1.175,41.85
-13,1.177,41.88
-12.99,1.179,41.91
-12.98,1.18,41.94
-12.97,1.182,41.97
-12.96,1.183,42.01
-12.95,1.185,42.04
-12.94,1.187,42.07
-12.93,1.188,42.1
-12.92,1.19,42.13
-12.91,1.192,42.17
-12.9,1.193,42.2
-12.89,1.195,42.23
-12.88,1.197,42.26
-12.87,1.198,42.29
-12.86,1.2,42.33
-12.85,1.202,42.36
-12.84,1.203,42.39
-12.83,1.205,42.42
-12.82,1.207,42.46
-12.81,1.208,42.49
-12.8,1.21,42.52
-12.79,1.212,42.56
-12.78,1.214,42.59
-12.77,1.215,42.62
-12.76,1.217,42.65
-12.75,1.219,42.69
-12.74,1.22,42.72
-12.73,1.222,42.75
-12.72,1.224,42.79
-12.71,1.226,42.82
-12.7,1.227,42.85
-12.69,1.229,42.89
-12.68,1.231,42.92
-12.67,1.233,42.95
-12.66,1.234,42.99
-12.65,1.236,43.02
-12.64,1.238,43.05
-12.63,1.24,43.09
-12.62,1.241,43.12
-12.61,1.243,43.15
-12.6,1.245,43.19
-12.59,1.247,43.22
-12.58,1.248,43.25
-12.57,1.25,43.29
-12.56,1.252,43.32
-12.55,1.254,43.36
-12.54,1.256,43.39
-12.53,1.257,43.42
-12.52,1.259,43.46
-12.51,1.261,43.49
-12.5,1.263,43.53
-12.49,1.265,43.56
-12.48,1.266,43.6
-12.47,1.268,43.63
-12.46,1.27,43.66
-12.45,1.272,43.7
-12.44,1.274,43.73
-12.43,1.275,43.77
-12.42,1.277,43.8
-12.41,1.279,43.84
-12.4,1.281,43.87
-12.39,1.283,43.91
-12.38,1.285,43.94
-12.37,1.287,43.98
-12.36,1.288,44.01
-12.35,1.29,44.05
-12.34,1.292,44.08
-12.33,1.294,44.12
-12.32,1.296,44.15
-12.31,1.298,44.19
-12.3,1.3,44.22
-12.29,1.302,44.26
-12.28,1.303,44.29
-12.27,1.305,44.33
-12.26,1.307,44.36
-12.25,1.309,44.4
-12.24,1.311,44.44
-12.23,1.313,44.47
-12.22,1.315,44.51
-12.21,1.317,44.54
-12.2,1.319,44.58
-12.19,1.321,44.61
-12.18,1.323,44.65
-12.17,1.324,44.69
-12.16,1.326,44.72
-12.15,1.328,44.76
-12.14,1.33,44.8
-12.13,1.332,44.83
-12.12,1.334,44.87
-12.11,1.336,44.9
-12.1,1.338,44.94
-12.09,1.34,44.98
-12.08,1.342,45.01
-12.07,1.344,45.05
-12.06,1.346,45.09
-12.05,1.348,45.12
-12.04,1.35,45.16
-12.03,1.352,45.2
-12.02,1.354,45.24
-12.01,1.356,45.27
-12,1.358,45.31
-11.99,1.36,45.35
-11.98,1.362,45.38
-11.97,1.364,45.42
-11.96,1.366,45.46
-11.95,1.368,45.5
-11.94,1.37,45.53
-11.93,1.372,45.57
-11.92,1.374,45.61
-11.91,1.376,45.65
-11.9,1.378,45.68
-11.89,1.38,45.72
-11.88,1.382,45.76
-11.87,1.384,45.8
-11.86,1.386,45.83
-11.85,1.389,45.87
-11.84,1.391,45.91
-11.83,1.393,45.95
-11.82,1.395,45.99
-11.81,1.397,46.03
-11.8,1.399,46.06
-11.79,1.401,46.1
-11.78,1.403,46.14
-11.77,1.405,46.18
-11.76,1.407,46.22
-11.75,1.409,46.26
-11.74,1.412,46.29
-11.73,1.414,46.33
-11.72,1.416,46.37
-11.71,1.418,46.41
-11.7,1.42,46.45
-11.69,1.422,46.49
-11.68,1.424,46.53
-11.67,1.427,46.57
-11.66,1.429,46.61
-11.65,1.431,46.65
-11.64,1.433,46.69
-11.63,1.435,46.72
-11.62,1.437,46.76
-11.61,1.44,46.8
-11.6,1.442,46.84
-11.59,1.444,46.88
-11.58,1.446,46.92
-11.57,1.448,46.96
-11.56,1.45,47
-11.55,1.453,47.04
-11.54,1.455,47.08
-11.53,1.457,47.12
-11.52,1.459,47.16
-11.51,1.462,47.2
-11.5,1.464,47.24
-11.49,1.466,47.28
-11.48,1.468,47.32
-11.47,1.471,47.36
-11.46,1.473,47.4
-11.45,1.475,47.45
-11.44,1.477,47.49
-11.43,1.48,47.53
-11.42,1.482,47.57
-11.41,1.484,47.61
-11.4,1.486,47.65
-11.39,1.489,47.69
-11.38,1.491,47.73
-11.37,1.493,47.77
-11.36,1.496,47.81
-11.35,1.498,47.86
-11.34,1.5,47.9
-11.33,1.502,47.94
-11.32,1.505,47.98
-11.31,1.507,48.02
-11.3,1.509,48.06
-11.29,1.512,48.11
-11.28,1.514,48.15
-11.27,1.516,48.19
-11.26,1.519,48.23
-11.25,1.521,48.27
-11.24,1.524,48.32
-11.23,1.526,48.36
-11.22,1.528,48.4
-11.21,1.531,48.44
-11.2,1.533,48.48
-11.19,1.535,48.53
-11.18,1.538,48.57
-11.17,1.54,48.61
-11.16,1.543,48.65
-11.15,1.545,48.7
-11.14,1.547,48.74
-11.13,1.55,48.78
-11.12,1.552,48.83
-11.11,1.555,48.87
-11.1,1.557,48.91
-11.09,1.56,48.96
-11.08,1.562,49
-11.07,1.565,49.04
-11.06,1.567,49.09
-11.05,1.569,49.13
-11.04,1.572,49.17
-11.03,1.574,49.22
-11.02,1.577,49.26
-11.01,1.579,49.3
-11,1.582,49.35
-10.99,1.584,49.39
-10.98,1.587,49.44
-10.97,1.589,49.48
-10.96,1.592,49.53
-10.95,1.594,49.57
-10.94,1.597,49.61
-10.93,1.599,49.66
-10.92,1.602,49.7
-10.91,1.605,49.75
-10.9,1.607,49.79
-10.89,1.61,49.84
-10.88,1.612,49.88
-10.87,1.615,49.93
-10.86,1.617,49.97
-10.85,1.62,50.02
-10.84,1.623,50.06
-10.83,1.625,50.11
-10.82,1.628,50.15
-10.81,1.63,50.2
-10.8,1.633,50.24
-10.79,1.636,50.29
-10.78,1.638,50.34
-10.77,1.641,50.38
-10.76,1.643,50.43
-10.75,1.646,50.47
-10.74,1.649,50.52
-10.73,1.651,50.57
-10.72,1.654,50.61
-10.71,1.657,50.66
-10.7,1.659,50.7
-10.69,1.662,50.75
-10.68,1.665,50.8
-10.67,1.667,50.84
-10.66,1.67,50.89
-10.65,1.673,50.94
-10.64,1.675,50.98
-10.63,1.678,51.03
-10.62,1.681,51.08
-10.61,1.684,51.13
-10.6,1.686,51.17
-10.59,1.689,51.22
-10.58,1.692,51.27
-10.57,1.695,51.31
-10.56,1.697,51.36
-10.55,1.7,51.41
-10.54,1.703,51.46
-10.53,1.706,51.51
-10.52,1.708,51.55
-10.51,1.711,51.6
-10.5,1.714,51.65
-10.49,1.717,51.7
-10.48,1.72,51.75
-10.47,1.722,51.79
-10.46,1.725,51.84
-10.45,1.728,51.89
-10.44,1.731,51.94
-10.43,1.734,51.99
-10.42,1.737,52.04
-10.41,1.739,52.09
-10.4,1.742,52.14
-10.39,1.745,52.18
-10.38,1.748,52.23
-10.37,1.751,52.28
-10.36,1.754,52.33
-10.35,1.757,52.38
-10.34,1.76,52.43
-10.33,1.762,52.48
-10.32,1.765,52.53
-10.31,1.768,52.58
-10.3,1.771,52.63
-10.29,1.774,52.68
-10.28,1.777,52.73
-10.27,1.78,52.78
-10.26,1.783,52.83
-10.25,1.786,52.88
-10.24,1.789,52.93
-10.23,1.792,52.98
-10.22,1.795,53.03
-10.21,1.798,53.08
-10.2,1.801,53.14
-10.19,1.804,53.19
-10.18,1.807,53.24
-10.17,1.81,53.29
-10.16,1.813,53.34
-10.15,1.816,53.39
-10.14,1.819,53.44
-10.13,1.822,53.49
-10.12,1.825,53.55
-10.11,1.828,53.6
-10.1,1.831,53.65
-10.09,1.834,53.7
-10.08,1.837,53.75
-10.07,1.84,53.81
-10.06,1.843,53.86
-10.05,1.847,53.91
-10.04,1.85,53.96
-10.03,1.853,54.02
-10.02,1.856,54.07
-10.01,1.859,54.12
-10,1.862,54.17
-9.99,1.865,54.23
-9.98,1.869,54.28
-9.97,1.872,54.33
-9.96,1.875,54.39
-9.95,1.878,54.44
-9.94,1.881,54.49
-9.93,1.884,54.55
-9.92,1.888,54.6
-9.91,1.891,54.66
-9.9,1.894,54.71
-9.89,1.897,54.76
-9.88,1.9,54.82
-9.87,1.904,54.87
-9.86,1.907,54.93
-9.85,1.91,54.98
-9.84,1.913,55.04
-9.83,1.917,55.09
-9.82,1.92,55.15
-9.81,1.923,55.2
-9.8,1.927,55.25
-9.79,1.93,55.31
-9.78,1.933,55.37
-9.77,1.937,55.42
-9.76,1.94,55.48
