f_S[GHz],real(Zin),imag(Zin),,,
-15,2.62E-03,5.258,,,
-14.99,2.63E-03,5.262,,,
-14.98,2.63E-03,5.265,,,
-14.97,2.63E-03,5.269,,,
-14.96,2.64E-03,5.272,,,
-14.95,2.64E-03,5.276,,,
-14.94,2.64E-03,5.279,,,
-14.93,2.65E-03,5.283,,,
-14.92,2.65E-03,5.286,,,
-14.91,2.65E-03,5.29,,,
-14.9,2.66E-03,5.293,,,
-14.89,2.66E-03,5.297,,,
-14.88,2.66E-03,5.301,,,
-14.87,2.67E-03,5.304,,,
-14.86,2.67E-03,5.308,,,
-14.85,2.67E-03,5.311,,,
-14.84,2.68E-03,5.315,,,
-14.83,2.68E-03,5.318,,,
-14.82,2.68E-03,5.322,,,
-14.81,2.69E-03,5.326,,,
-14.8,2.69E-03,5.329,,,
-14.79,2.69E-03,5.333,,,
-14.78,2.70E-03,5.336,,,
-14.77,2.70E-03,5.34,,,
-14.76,2.70E-03,5.344,,,
-14.75,2.71E-03,5.347,,,
-14.74,2.71E-03,5.351,,,
-14.73,2.71E-03,5.355,,,
-14.72,2.72E-03,5.358,,,
-14.71,2.72E-03,5.362,,,
-14.7,2.72E-03,5.365,,,
-14.69,2.73E-03,5.369,,,
-14.68,2.73E-03,5.373,,,
-14.67,2.73E-03,5.376,,,
-14.66,2.74E-03,5.38,,,
-14.65,2.74E-03,5.384,,,
-14.64,2.74E-03,5.387,,,
-14.63,2.75E-03,5.391,,,
-14.62,2.75E-03,5.395,,,
-14.61,2.75E-03,5.399,,,
-14.6,2.76E-03,5.402,,,
-14.59,2.76E-03,5.406,,,
-14.58,2.76E-03,5.41,,,
-14.57,2.77E-03,5.413,,,
-14.56,2.77E-03,5.417,,,
-14.55,2.78E-03,5.421,,,
-14.54,2.78E-03,5.425,,,
-14.53,2.78E-03,5.428,,,
-14.52,2.79E-03,5.432,,,
-14.51,2.79E-03,5.436,,,
-14.5,2.79E-03,5.44,,,
-14.49,2.80E-03,5.443,,,
-14.48,2.80E-03,5.447,,,
-14.47,2.80E-03,5.451,,,
-14.46,2.81E-03,5.455,,,
-14.45,2.81E-03,5.458,,,
